Nick's ride client characteristic codebook,,,,,for service codebook scrolldown to line 43
Variable,Data_Type,Num_Missing,Pct_Missing,Unique_Values,
clientid,integer,0,0,"106, 239, 913, 973, 1009",
providertype,character,0,0,"Certified Recovery Peer Advocate, Certified Recovery Peer Advocate - Provisional, Peer Specialist, Clinician",
notedate,character,0,0,"4/1/25, 4/2/25, 4/3/25, 4/4/25, 4/6/25",
starttime,character,0,0,"14:30:00, 09:08:00, 09:05:00, 10:15:00, 11:00:00",
endtime,character,0,0,"15:00:00, 09:23:00, 09:07:00, 11:50:00, 11:20:00",
duration,integer,0,0,"30, 15, 2, 95, 20",
building,character,50,0.852951211,"Nick`s Ride 4 Friends, City of Auburn, NA, Cayuga County Jail, Cayuga County Court House",
room,character,50,0.852951211,"Variable, Phone Call, Text Message, NA, AIC Court",
notes,character,119,2.030023883,"TW transported the client back home to his apartment, T/W transported Client from Nicks Ride 4 Friends at 13 Chapel St Auburn NY to Walgreens Pharmacy at 150 Grant Ave Auburn NY. T/W then transported Client back to NR4F. Client was without his medication., T/W provided Client with funds for his RX co payment at Walgreens Pharmacy at 150 Grant Ave Auburn NY., This writer brought the client to the Colonial Laundry on Genesee Street in Auburn. Then to the Salvation Army on Grant Avenue in Auburn. This writer was then told that they had to get back to NR4F, so client was dropped off back at their current residence being the Cayuga Inn., This writer picked up this client do run some errands and help to obtain things for the baby because they are lacking. This client needed to go to the laundry matt because their clothes were still wet from the previous night. While the clothes were drying this writer brought this client to the Salvation Army to get a few things for the baby. (See breaking barriers note) Time was cut short due to lack of staff so this writer dropped the client off but will continue when time is available.",
notetype,character,0,0,"Transportation, Basic Needs, Peer Support, Peer Empowerment, Admission to Treatment",
admit_mfname,character,5596,95.46229956,"NA, Confidential Help for Alcohol and Drugs, Cove Forge/White Deer Run, Syracuse Recovery Services, Dick Van Dyke Addiction Treatment Center (DVD-ATC)",
admit_date,character,5595,95.44524053,"NA, 4/7/25, 4/11/25, 4/17/25, 4/9/25",
admit_type,character,5595,95.44524053,"NA, SUD, BHU, MH",
basic_type,character,5436,92.73285568,"NA, Rx Co-payment, Child Care, Legal Documents, Hygiene Item/s",
basic_money,numeric,5349,91.24872057,"NA, 3.2, 82.23, 398, 9.5",
corr_method,character,5413,92.34049812,"NA, Email, Phone Call, Text, Mailing",
corr_contact,character,5414,92.35755715,"NA, Fidelis Care/MCO, East Hill Medical/Duckett Family Med, Michael Tillman, Client",
corr_clientpresent,character,5413,92.34049812,"NA, No, Yes",
eve_type,logical,5862,100,NA,
eve_money,integer,5759,98.2429205,"NA, 0",
hous_location,character,5840,99.62470147,"NA, NR4F, nicks ride, Delajs, 33 Columbus Street Apartment # 1 Auburn NY 13021",
moud_inducted,character,5860,99.96588195,"NA, Yes, No",
moud_inductiondays,integer,5861,99.98294098,"NA, 0",
